FECHA,REGISTROS_ACUM,REGISTROS,MEDIA_MOVIL
15/04/2020,5847,,
16/04/2020,6297,450,
17/04/2020,6875,578,
18/04/2020,7497,622,
19/04/2020,8261,764,
20/04/2020,8772,511,
21/04/2020,9501,729,
22/04/2020,10544,1043,671
23/04/2020,11633,1089,762.2857143
24/04/2020,12872,1239,856.7142857
25/04/2020,13842,970,906.4285714
26/04/2020,14677,835,916.5714286
27/04/2020,15529,852,965.2857143
28/04/2020,16752,1223,1035.857143
29/04/2020,17799,1047,1036.428571
30/04/2020,19224,1425,1084.428571
01/05/2020,20739,1515,1123.857143
02/05/2020,22088,1349,1178
03/05/2020,23471,1383,1256.285714
04/05/2020,24905,1434,1339.428571
05/05/2020,26025,1120,1324.714286
06/05/2020,27634,1609,1405
07/05/2020,29616,1982,1484.571429
08/05/2020,31522,1906,1540.428571
09/05/2020,33460,1938,1624.571429
10/05/2020,35022,1562,1650.142857
11/05/2020,36327,1305,1631.714286
12/05/2020,38324,1997,1757
13/05/2020,40186,1862,1793.142857
14/05/2020,42595,2409,1854.142857
15/05/2020,45032,2437,1930
16/05/2020,47144,2112,1954.857143
17/05/2020,49219,2075,2028.142857
18/05/2020,51633,2414,2186.571429
19/05/2020,54346,2713,2288.857143
20/05/2020,56594,2248,2344
21/05/2020,59567,2973,2424.571429
22/05/2020,62527,2960,2499.285714
23/05/2020,65856,3329,2673.142857
24/05/2020,68620,2764,2771.571429
25/05/2020,71105,2485,2781.714286
26/05/2020,74560,3455,2887.714286
27/05/2020,78023,3463,3061.285714
28/05/2020,81400,3377,3119
29/05/2020,84627,3227,3157.142857
30/05/2020,87512,2885,3093.714286
31/05/2020,90664,3152,3149.142857
01/06/2020,93435,2771,3190
02/06/2020,97326,3891,3252.285714
03/06/2020,101238,3912,3316.428571
04/06/2020,105680,4442,3468.571429
05/06/2020,110026,4346,3628.428571
06/06/2020,113619,3593,3729.571429
07/06/2020,117103,3484,3777
08/06/2020,120102,2999,3809.571429
09/06/2020,124301,4199,3853.571429
10/06/2020,129184,4883,3992.285714
11/06/2020,133974,4790,4042
12/06/2020,139196,5222,4167.142857
13/06/2020,142690,3494,4153
14/06/2020,146837,4147,4247.714286
15/06/2020,150264,3427,4308.857143
16/06/2020,154863,4599,4366
17/06/2020,159793,4930,4372.714286
18/06/2020,165455,5662,4497.285714
19/06/2020,170485,5030,4469.857143
20/06/2020,175202,4717,4644.571429
21/06/2020,180545,5343,4815.428571
22/06/2020,185122,4577,4979.714286
23/06/2020,191410,6288,5221
24/06/2020,196847,5437,5293.428571
25/06/2020,202951,6104,5356.571429
26/06/2020,208392,5441,5415.285714
27/06/2020,212802,4410,5371.428571
28/06/2020,216852,4050,5186.714286
29/06/2020,220657,3805,5076.428571
30/06/2020,226089,5432,4954.142857
01/07/2020,231770,5681,4989
02/07/2020,238511,6741,5080
03/07/2020,245251,6740,5265.571429
04/07/2020,252165,6914,5623.285714
05/07/2020,256848,4683,5713.714286
06/07/2020,261750,4902,5870.428571
07/07/2020,268008,6258,5988.428571
08/07/2020,275003,6995,6176.142857
09/07/2020,282283,7280,6253.142857
10/07/2020,289174,6891,6274.714286
11/07/2020,295268,6094,6157.571429
12/07/2020,299750,4482,6128.857143
13/07/2020,304435,4685,6097.857143
14/07/2020,311486,7051,6211.142857
15/07/2020,317635,6149,6090.285714
16/07/2020,324041,6406,5965.428571
