FECHA,REGISTROS_ACUM
15/04/2020,5847
16/04/2020,6297
17/04/2020,6875
18/04/2020,7497
19/04/2020,8261
20/04/2020,8772
21/04/2020,9501
22/04/2020,10544
23/04/2020,11633
24/04/2020,12872
25/04/2020,13842
26/04/2020,14677
27/04/2020,15529
28/04/2020,16752
29/04/2020,17799
30/04/2020,19224
01/05/2020,20739
02/05/2020,22088
03/05/2020,23471
04/05/2020,24905
05/05/2020,26025
06/05/2020,27634
07/05/2020,29616
08/05/2020,31522
09/05/2020,33460
10/05/2020,35022
11/05/2020,36327
12/05/2020,38324
13/05/2020,40186
14/05/2020,42595
15/05/2020,45032
16/05/2020,47144
17/05/2020,49219
18/05/2020,51633
19/05/2020,54346
20/05/2020,56594
21/05/2020,59567
22/05/2020,62527
23/05/2020,65856
24/05/2020,68620
25/05/2020,71105
26/05/2020,74560
27/05/2020,78023
28/05/2020,81400
29/05/2020,84627
30/05/2020,87512
31/05/2020,90664
01/06/2020,93435
02/06/2020,97326
03/06/2020,101238
04/06/2020,105680
05/06/2020,110026
06/06/2020,113619
07/06/2020,117103
08/06/2020,120102
09/06/2020,124301
10/06/2020,129184
11/06/2020,133974
12/06/2020,139196
13/06/2020,142690
14/06/2020,146837
15/06/2020,150264
16/06/2020,154863
17/06/2020,159793
18/06/2020,165455
19/06/2020,170485
20/06/2020,175202
21/06/2020,180545
22/06/2020,185122
23/06/2020,191410
24/06/2020,196847
25/06/2020,202951
26/06/2020,208392
27/06/2020,212802
28/06/2020,216852
29/06/2020,220657
30/06/2020,226089
01/07/2020,231770
02/07/2020,238511
03/07/2020,245251
04/07/2020,252165
05/07/2020,256848
06/07/2020,261750
07/07/2020,268008
08/07/2020,275003
09/07/2020,282283
10/07/2020,289174
11/07/2020,295268
12/07/2020,299750
13/07/2020,304435
14/07/2020,311486
15/07/2020,317635
16/07/2020,324041
17/07/2020,331298
18/07/2020,338913
19/07/2020,344224
20/07/2020,349396
21/07/2020,356255
22/07/2020,362274
23/07/2020,370712
24/07/2020,378285
25/07/2020,385036
26/07/2020,390516
27/07/2020,395489
28/07/2020,402697
29/07/2020,408449
