"ESTADO","ASOCIADA COVID19","EXCESO DEFUNCIONES","CONFIRMADA COVID19","razon_covid","razon_exceso"
"Nacional",329965,458026,209949,1.57164358963367,2.1816060090784
"Aguascalientes",3539,3578,2253,1.57079449622725,1.58828229027963
"Baja California",10921,14861,7942,1.37509443465122,1.87116595316041
"Baja California Sur",1609,1492,1301,1.23674096848578,1.14681014604151
"Campeche",1767,2139,1156,1.52854671280277,1.85034602076125
"Chiapas",2833,2266,1507,1.87989382879894,1.50391506303915
"Chihuahua",8323,8575,6276,1.3261631612492,1.36628425748885
"Ciudad de México",71221,90523,31479,2.26249245528765,2.87566314050637
"Coahuila",9514,11087,6151,1.54674036741993,1.80247114290359
"Colima",1500,1617,1149,1.30548302872063,1.40731070496084
"Durango",3302,3505,2321,1.42266264541146,1.51003877638949
"Guanajuato",15174,25793,10420,1.45623800383877,2.4753358925144
"Guerrero",6335,4742,4131,1.53352699104333,1.14795449043815
"Hidalgo",7756,10126,5879,1.31927198503147,1.72246980779044
"Jalisco",18476,23214,11558,1.59854646132549,2.00849627963315
"México",50646,79270,32911,1.53887757892498,2.40860502567531
"Michoacán",8142,13073,5347,1.52272302225547,2.44499719468861
"Morelos",6250,9562,2933,2.1309239686328,3.2600750085237
"Nayarit",1976,1257,1748,1.1304347826087,1
"Nuevo León",14848,19356,9212,1.6118106817195,2.10115067303517
"Oaxaca",5140,1997,3359,1.53021732658529,1
"Puebla",12326,28932,10748,1.14681801265352,2.69184964644585
"Querétaro",5795,8020,3950,1.46708860759494,2.03032911392405
"Quintana Roo",3495,3831,2508,1.39354066985646,1.52735247208931
"San Luis Potosí",6305,6908,5040,1.25099206349206,1.3706746031746
"Sinaloa",7185,6163,5821,1.23432399931283,1.05875279161656
"Sonora",8528,11178,6404,1.3316677076827,1.74547158026234
"Tabasco",5264,5961,3934,1.33807829181495,1.5153024911032
"Tamaulipas",7065,7499,4742,1.48987768873893,1.58135807676086
"Tlaxcala",4144,5940,2327,1.78083369144822,2.55255694026644
"Veracruz",12676,19157,9331,1.3584824777623,2.05309184438967
"Yucatán",4521,3626,3432,1.31730769230769,1.05658508158508
"Zacatecas",3389,6496,2679,1.26502426278462,2.42493467711833
